County,Male,Female,Intersex,Farming,Tea,Coffee,Avocado,Citrus,Mango,Coconut,Macadamia,Cashew Nut,Khat (Miraa),Population,NumberOfHouseholds,AverageHouseholdSize,Latitude,Longitude
Mombasa,610257,598046,30,12497,0.0,0.0,0.0,0.0,0.0,1688.0,0.0,602.0,0.0,1190987,378422,3.1,-4.05,39.6668
Kwale,425121,441681,18,108074,0.0,0.0,1063.0,10053.0,30272.0,31954.0,881.0,22803.0,0.0,858748,173176,5.0,-4.1737,39.4521
Kilifi,704089,749673,25,161188,0.0,0.0,0.0,6808.0,37519.0,47561.0,0.0,27940.0,0.0,1440958,298472,4.8,-3.6305,39.8499
Tana River,158550,157391,2,35094,0.0,0.0,0.0,1109.0,6561.0,2228.0,0.0,1691.0,0.0,314710,68242,4.6,-1.5183,39.8474
Lamu,76103,67813,4,18678,0.0,0.0,0.0,2742.0,7423.0,5017.0,189.0,8085.0,0.0,141909,37963,3.7,-2.2717,40.902
Taita Taveta,173337,167327,7,56920,0.0,0.0,7963.0,3284.0,7171.0,2504.0,3650.0,543.0,0.0,335747,96429,3.5,-3.5004,38.3523
Garissa,458975,382344,34,47645,0.0,0.0,0.0,0.0,1726.0,0.0,0.0,0.0,0.0,835482,141394,5.9,-0.4563,39.6583
Wajir,415374,365840,49,63433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775302,127932,6.1,1.7471,40.0573
Mandera,434976,432444,37,62639,0.0,0.0,0.0,0.0,2685.0,0.0,0.0,0.0,0.0,862079,125763,6.9,3.9261,41.8467
Marsabit,243548,216219,18,39167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447150,77495,5.8,2.3399,37.9916
Isiolo,139510,128483,9,24271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267997,58072,4.6,0.3546,37.5822
Meru,767698,777975,41,274865,30404.0,28195.0,41746.0,6255.0,27457.0,0.0,29545.0,0.0,85023.0,1535635,426360,3.6,0.0487,37.655
Tharaka,193764,199406,7,85767,7227.0,15792.0,13171.0,1630.0,14102.0,0.0,9280.0,0.0,8404.0,391303,109860,3.6,-0.087,37.652
Embu,304208,304367,24,130990,18664.0,28996.0,19355.0,3581.0,26771.0,0.0,27488.0,0.0,34900.0,604769,182743,3.3,-0.5388,37.4508
Kitui,549003,587151,33,215322,0.0,0.0,12066.0,7510.0,35471.0,0.0,0.0,0.0,0.0,1130134,262942,4.3,-1.367,38.0106
Machakos,710707,711191,34,231341,0.0,23525.0,45243.0,22797.0,75504.0,0.0,6519.0,0.0,0.0,1414022,402466,3.5,-1.5203,37.2635
Makueni,489691,497942,20,193531,0.0,3371.0,34107.0,27006.0,70130.0,0.0,4293.0,0.0,0.0,977015,244669,4.0,-1.804,37.6203
Nyandarua,315022,323247,20,140854,0.0,0.0,2892.0,1580.0,0.0,0.0,0.0,0.0,0.0,636002,179686,3.5,-0.4023,36.3973
Nyeri,374288,384845,31,164229,23300.0,57983.0,22810.0,2521.0,10228.0,0.0,25436.0,0.0,0.0,752695,248050,3.0,-0.4172,36.951
Kirinyaga,302011,308369,31,139866,25135.0,47835.0,19691.0,2429.0,15311.0,0.0,28508.0,0.0,5821.0,605630,204188,3.0,-0.4989,37.2803
Murang'a,523940,532669,31,231400,43819.0,64533.0,52839.0,7210.0,38361.0,0.0,35618.0,0.0,0.0,1053059,318105,3.3,-0.7211,37.1526
