County,Male,Female,Intersex,Farming,Tea,Coffee,Avocado,Citrus,Mango,Coconut,Macadamia,Cashew Nut,Khat (Miraa),Population,NumberOfHouseholds,AverageHouseholdSize,Latitude,Longitude
Nairobi,2192452,2204376,245,32258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4337080,1506888,2.9,-1.2864,36.8172
Kiambu,1187146,1230454,135,214052,20958.0,31152.0,31392.0,2160.0,9855.0,0.0,11748.0,0.0,0.0,2402834,795241,3.0,-1.1714,36.8356
Nakuru,1077272,1084835,95,283652,10041.0,0.0,20209.0,4332.0,6560.0,0.0,0.0,0.0,0.0,2142667,616046,3.5,-0.3031,36.08
Kakamega,897133,970406,40,335269,4644.0,2990.0,63886.0,4435.0,49075.0,0.0,2292.0,0.0,0.0,1861332,433207,4.3,0.2818,34.7533
Bungoma,812146,858389,35,280445,2047.0,37773.0,73765.0,5268.0,54581.0,0.0,2428.0,0.0,0.0,1663898,358796,4.6,0.5635,34.5606
Meru,767698,777975,41,274865,30404.0,28195.0,41746.0,6255.0,27457.0,0.0,29545.0,0.0,85023.0,1535635,426360,3.6,0.0487,37.655
Kilifi,704089,749673,25,161188,0.0,0.0,0.0,6808.0,37519.0,47561.0,0.0,27940.0,0.0,1440958,298472,4.8,-3.6305,39.8499
Machakos,710707,711191,34,231341,0.0,23525.0,45243.0,22797.0,75504.0,0.0,6519.0,0.0,0.0,1414022,402466,3.5,-1.5203,37.2635
Kisii,605784,661038,38,219853,67394.0,53580.0,88326.0,3850.0,17144.0,0.0,0.0,0.0,0.0,1260509,308054,4.1,-0.669,34.768
Mombasa,610257,598046,30,12497,0.0,0.0,0.0,0.0,0.0,1688.0,0.0,602.0,0.0,1190987,378422,3.1,-4.05,39.6668
